partida_id,clave_csi,capitulo,cap_nombre,partida_desc,partida_unidad,n_insumos_mo_eq,ficha,ficha_desc,ficha_unidad,ficha_pagina,score
70d220d0-354d-4379-bb1a-739878160601,03 31 00.5,03,Concreto,"Armado, Encofrado y Fundido de Columna R5 A 35 X 35, R2 20x20cm, 4Nº3, Nº2 @ 0.20,  4-#6+2-#5+2-#5,#3@150mm",ML,3,F034012,"COLUMNA 20 X 60 4Nº4, Nº2 @ 20, CONCRETO 1:2:2",UNID,260,0.6
70d220d0-354d-4379-bb1a-739878160601,03 31 00.5,03,Concreto,"Armado, Encofrado y Fundido de Columna R5 A 35 X 35, R2 20x20cm, 4Nº3, Nº2 @ 0.20,  4-#6+2-#5+2-#5,#3@150mm",ML,3,F034013,"COLUMNA 20 x 15 4Nº4, Nº3 @ 20, CONCRETO 1:2:2",ML,261,0.6
075c64db-7b58-455d-b19e-5189b56e6c7c,03 31 00.6,03,Concreto,"Armado, Encofrado y Fundido Columna de R6 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML,4,F034044,"COLUMNA 30 X 30, 8Nº7, Nº3 @ 0.1.CONCRETO 1:2:2",M.L.,292,1.0
075c64db-7b58-455d-b19e-5189b56e6c7c,03 31 00.6,03,Concreto,"Armado, Encofrado y Fundido Columna de R6 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML,4,F034065,"COLUMNA 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML.,313,1.0
075c64db-7b58-455d-b19e-5189b56e6c7c,03 31 00.6,03,Concreto,"Armado, Encofrado y Fundido Columna de R6 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML,4,F034030,"COLUMNA 30 X 30 8Nº3, Nº2 @ 20, CONCRETO 1:2:2",M.L.,278,0.8
075c64db-7b58-455d-b19e-5189b56e6c7c,03 31 00.6,03,Concreto,"Armado, Encofrado y Fundido Columna de R6 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML,4,F034033,"COLUMNA 30 X 30, 4 Nº6, Nº3 @ 0.05, CONCRETO 1:2:2",M.L.,281,0.75
075c64db-7b58-455d-b19e-5189b56e6c7c,03 31 00.6,03,Concreto,"Armado, Encofrado y Fundido Columna de R6 60 x 60, 8Nº6, Nº3 @ 30, CONCRETO 1:2:2",ML,4,F034034,"COLUMNA 30 X 30, 4 Nº6, Nº3 @ 0.20, CONCRETO 1:2:2",M.L.,282,0.75
5d6c7bb2-3710-4eda-832d-476432ad7d6c,03 31 00.7,03,Concreto,Creación de Gradas de hmax=0.18m wmin=1m pmax=0.27,PZA,2,F021003,MAMPOSTERIA EN GRADAS,M3,87,0.5
65cc8446-a122-4d1e-82f4-68bf8bbab2f7,03 31 00.8,03,Concreto,"Armado, Encofrado y Fundido de Solera S1 de 35x35cm, 8#6 Y #4 @0.175 CM",ML,4,F031005,"SOLERA 10X15, 2 #3, #2 @ 25 CM,CONCRETO 1:2:2",M.L.,194,0.4
65cc8446-a122-4d1e-82f4-68bf8bbab2f7,03 31 00.8,03,Concreto,"Armado, Encofrado y Fundido de Solera S1 de 35x35cm, 8#6 Y #4 @0.175 CM",ML,4,F031013,SOLERA 15X15 4#3 Y #2 @ 15 CM CONCRETO 1:2:2,M.L.,202,0.4
65cc8446-a122-4d1e-82f4-68bf8bbab2f7,03 31 00.8,03,Concreto,"Armado, Encofrado y Fundido de Solera S1 de 35x35cm, 8#6 Y #4 @0.175 CM",ML,4,F031028,SOLERA 20X20 4#3 Y #2 @ 20 CM. CONCRETO 1:2:2,M.L.,217,0.4
6ada3ee1-69fe-4f4d-bdd6-7208c1e1498c,03 31 00.10,03,Concreto,"Armado, Encofrado y Fundido de Solera S3 de 20x20cm,  4#3 Y #2 @0.20 CM (Cielo)",M2,4,F031027,SOLERA 20 X 20 4 #4 Y #2 @ 5 CONCRETO 1:2:2,M.L.,216,0.667
6ada3ee1-69fe-4f4d-bdd6-7208c1e1498c,03 31 00.10,03,Concreto,"Armado, Encofrado y Fundido de Solera S3 de 20x20cm,  4#3 Y #2 @0.20 CM (Cielo)",M2,4,F031028,SOLERA 20X20 4#3 Y #2 @ 20 CM. CONCRETO 1:2:2,M.L.,217,0.6
